年均温,年降水,蒸散量,母岩,DEM,坡度,坡向,地形部位,TWI,平面曲率,剖面曲率,NDVI,LAI,植被类型,土地利用,地表土壤湿度,pH,coordinates_x,coordinates_y
15.216342,1001.488,916.62524,4,1934,2.1200168,6,5,7.4938087,0.0015607507309471,0.0009716779720192,0.3354662636303466,1.09391294395995,2,1,28.290289,7.45,34667845.8164,2832984.9519999996
14.896351,990.46094,915.6133,4,1981,6.2145176,5,4,13.71018,0.0014325692568975,0.0020299990973208,0.2199244638113622,0.6752865491684625,2,1,29.354889,8.1,34662573.4032,2831305.0998
14.975127,993.51733,916.58466,4,1941,3.217858,5,5,15.351251,0.0006843845609204,0.0003373678631956,0.2033997624955799,0.6247832875743174,2,1,29.686182,8.14,34664132.5042,2831312.7084
14.86483,990.45276,914.0569,4,2062,2.12001,2,3,7.0373964,0.0013690712632251,0.0008454679925708,0.1915507848536843,0.5674346626469741,2,1,31.293856,6.94,34662123.7311,2832751.6033999994
14.839242,990.23395,913.24664,4,2058,2.7676551,4,4,14.022525,0.0010908441756145,0.0003231820059032,0.250013978801239,0.7836617321041276,1,1,30.071276,6.58,34661864.9402,2833546.0470000003
14.836069,990.7048,913.0239,4,2057,2.7677083,8,4,11.0021,-0.0004289280086692,0.0011064459250142,0.3536440690394616,1.1613227987339292,1,1,30.475433,6.79,34661927.3406,2834031.7600999996
14.9319315,991.70844,916.06696,4,1952,3.844055,3,4,10.612815,-0.0004060032027324,0.0003686061204077,0.2031683430098442,0.5947616162661657,2,1,30.622362,7.85,34663389.4565,2831427.8949999996
14.670899,976.74316,909.22925,1,2085,6.544702,3,5,6.3048296,0.0048995761848561,0.0029794873127132,0.3048837564007208,0.9768805109074592,1,1,36.656315,5.86,34651878.1276,2827358.0746
14.906935,993.75745,918.30115,6,1944,8.250189,2,3,6.0919714,-0.0007715487754968,0.0009167413443469,0.3119987775993663,1.010811577354507,4,1,30.253529,7.91,34662576.1825,2828510.6306
15.000373,995.91254,918.94116,6,1924,0.0,7,4,10.308952,0.002076192836379,0.0,0.1080669908455537,0.3095081676565374,4,1,31.0107,7.79,34664453.2228,2829412.566299999
14.744174,985.3025,913.8834,4,2005,7.1595564,1,4,6.148041,0.0010027537324593,0.0023947529684519,0.2350014417007068,0.7286160339721373,4,1,28.994503,8.43,34657861.6466,2829578.785700001
14.942016,993.35205,918.06995,4,1941,4.6273675,3,4,7.5758834,0.0022673298474978,0.0005567996921091,0.1956130518875771,0.5772565771439344,4,1,31.013618,8.05,34663413.1323,2829601.7306999993
14.952721,992.8215,917.4152,4,1941,5.4489274,5,3,6.7123747,-0.0008117599168306,-0.0021320827323192,0.2568601602709989,0.8086748998250342,4,1,31.334314,7.42,34663692.0113,2830248.4801000003
14.858707,989.7469,915.6253,4,1967,2.7673156,2,5,16.019632,0.0050282244297138,0.0013441838834122,0.2913557420292098,0.9341610422040376,4,1,29.921242,8.23,34661675.5023,2830635.7674000002
14.699049,980.256,911.8701,4,2034,3.4554377,2,4,7.068926,0.0009623780552588,0.0001266786268095,0.2992499564131743,0.9630741660363352,4,1,30.356802,6.03,34654382.0633,2827233.6763000004
15.182098,999.6172,918.3442,6,1912,0.0,7,3,8.535263,-0.0017979038510109,-0.0,0.1831018578167327,0.5574891761972233,4,1,29.609665,7.62,34666784.9194,2830565.2938
15.219428,1000.2337,918.06384,6,1916,0.92740995,3,3,12.923501,0.0017341715010381,0.0013919991252728,0.2031234432942575,0.6163104444282681,4,1,30.215405,6.72,34667220.749,2830919.4098000005
14.904935,1000.37885,922.10254,4,2061,3.2161937,5,4,7.252788,6.340493100758231e-05,-0.0003904531543852,0.3940951419491161,1.2978115374734018,1,1,28.038395,5.9,34663186.3463,2823747.6576000005
