年均温,年降水,蒸散量,母岩,DEM,地形部位,NDVI,LAI,植被类型,土地利用,pH,TDLY,coordinates
21.942486,1061.308,-0.002244434,1,2025,4,0.61291903,0.918180944,13,4,5.96,-9999,(33517424.529600002 2763102.3894999996)
18.164577,1273.8174,-0.002398441,8,1438,3,0.5907205,1.454453746,8,4,7.18,-9999,(33479817.6835 2798254.1219999995)
22.143068,1260.5503,-0.002440028,2,1830,3,0.64355385,1.450222076,6,4,8.03,-9999,(33480260.6698 2758792.2167000007)
22.19316,1009.4684,-0.002253862,4,1668,4,0.55527616,1.319023913,18,1,7.88,620.87,(33525352.6522 2783716.7465000004)
22.941872,993.74475,-0.002233951,4,1649,3,0.43809924,0.949027367,18,1,7.28,1372.95,(33523462.262199998 2778520.3863999993)
19.414423,1046.924,-0.002306473,4,1861,3,0.5791054,0.924647811,18,1,6.03,142.16,(33519767.8258 2796889.230799999)
22.606012,1007.2636,-0.002247932,4,1659,5,0.47737393,1.018309617,18,1,8.48,1640.25,(33525297.8372 2781715.363500001)
22.22178,1082.7424,-0.00229076,1,1943,5,0.5086366,1.109578235,13,1,8.37,94.77,(33521892.9806 2756434.7947000004)
22.701193,1011.0823,-0.002198006,4,1667,3,0.44733098,0.9641912,18,1,6.73,290.38,(33516977.2568 2773716.6163)
21.198067,1022.9946,-0.002263445,4,1707,4,0.49319535,1.066445924,18,1,7.22,868.73,(33526825.1839 2785820.0830000006)
24.316307,1085.0222,-0.002323356,4,1359,3,0.46087244,0.942707254,18,1,7.51,663.39,(33500247.965 2768795.1922999993)
23.33741,1024.1476,-0.002228762,4,1656,4,0.472846,1.029609227,18,1,5.03,196.83,(33522452.3425 2768534.7202000003)
24.26209,1102.832,-0.002349413,5,1331,4,0.45347387,0.85216345,8,1,8.35,928.26,(33496169.4974 2771825.0736999996)
23.186255,1018.03674,-0.002221354,4,1643,4,0.46859705,1.051966562,18,1,5.65,319.54,(33521327.277400002 2769183.3468999993)
21.839819,1096.2068,-0.002299155,1,1836,3,0.33485988,0.61044063,18,1,8.07,398.52,(33531535.4826 2753013.6703999992)
24.35745,1161.8722,-0.002419418,4,872,4,0.5208352,1.186287597,19,1,5.55,130,(33485155.7729 2758275.4209000003)
21.03329,1008.5913,-0.002269254,4,1711,3,0.48544607,1.049440076,18,1,6.83,449.55,(33524240.3821 2787641.7689999994)
24.62937,1128.2095,-0.002375218,4,675,3,0.5019313,1.042224816,15,1,8.23,263.65,(33490215.1869 2755795.9218000006)
22.62258,1023.37946,-0.002212808,4,1666,4,0.444542,0.975409331,13,1,7.05,318.33,(33517488.3658 2768497.7980000004)
23.353535,1094.207,-0.002317963,4,1396,4,0.48687026,1.009732091,18,1,8.29,219.92,(33504423.0006 2764933.4702000003)
24.363842,1080.1794,-0.002318681,5,1352,5,0.49096248,0.91368506,8,1,8.66,510.3,(33500609.0108 2770293.0183000006)
23.26928,1071.946,-0.002290437,4,1591,4,0.40731972,0.869684022,1,1,6.86,893.02,(33531077.4432 2759174.0154999997)
23.69198,1131.9392,-0.002349741,3,1555,3,0.4444972,0.878640301,12,1,8.48,545.54,(33499200.798 2754664.513699999)
24.178722,1191.7773,-0.002432982,4,1008,3,0.52285254,1.153463158,9,1,5.25,128.79,(33483624.1541 2761327.2216999996)
23.64727,1199.1364,-0.002424373,4,867,3,0.50937843,1.10055448,9,1,6.11,106.92,(33483809.3086 2764611.8972999994)
23.462957,1175.961,-0.00240094,4,756,4,0.47637892,1.018757454,19,1,7.68,65.61,(33487512.1559 2748508.4301999994)
24.673265,1134.2737,-0.002387836,4,712,4,0.5337714,1.118617567,16,1,8.56,936.76,(33489714.0176 2763933.0516)
20.87983,1023.8198,-0.002268467,4,1758,3,0.5818352,1.278285372,1,1,6.13,876.01,(33526726.2458 2787181.7815000005)
20.435093,1009.18427,-0.00227823,4,1684,3,0.54087526,1.250477036,18,1,5.98,280.67,(33523171.163599998 2790206.1163999997)
24.58263,1169.4052,-0.002424212,4,886,3,0.5918812,1.383905004,19,1,6.26,143.37,(33484992.3349 2762132.601500001)
22.6062,1022.24646,-0.002189868,4,1680,3,0.505608,1.105221193,18,1,7.18,790.96,(33515881.0368 2773104.1644)
24.264753,1081.4664,-0.002315803,4,1359,1,0.4350675,0.79213458,18,1,7.93,773.96,(33501188.5262 2768625.8926999997)
19.972565,1055.2677,-0.002308661,1,1832,4,0.45685536,0.94106624,18,1,5.9,765.45,(33520490.827600002 2801201.5485999994)
24.199223,1170.7625,-0.00241239,4,759,2,0.5794224,1.202742987,19,1,5.47,121.5,(33486019.6203 2764955.6219999995)
22.56411,1056.6218,-0.002217667,1,1867,4,0.53937453,1.165438785,13,1,8.23,88.69,(33513487.0764 2768833.897500001)
22.614397,1086.2816,-0.002299877,1,1720,5,0.50981677,1.112410112,1,1,8.07,55.89,(33528653.096699998 2755842.777899999)
20.546413,1011.70447,-0.002276119,4,1711,3,0.56584036,1.215142245,18,1,5.51,368.14,(33524016.1889 2789779.0941000003)
22.90543,988.408,-0.002224049,4,1646,2,0.41758084,0.96497516,18,1,6.04,315.9,(33520295.214900002 2777063.4910000004)
23.953585,1184.9833,-0.002420673,4,817,3,0.46389616,1.011346601,9,1,5.66,168.88,(33484641.326 2764427.8430000003)
23.448126,1010.0173,-0.002223451,4,1695,4,0.35341415,0.725830123,18,1,6.64,360.86,(33523753.9191 2772569.293299999)
21.318651,1019.1285,-0.002262297,4,1754,2,0.44880205,0.99629769,18,1,5.28,303.75,(33526313.7298 2785778.335000001)
22.91753,1039.3146,-0.002244796,4,1673,5,0.49774483,1.107547421,18,1,8.34,222.34,(33520940.220399998 2765043.6270000003)
22.619204,994.6869,-0.002246103,4,1649,3,0.48867568,1.101568935,18,1,7.76,922.18,(33523291.7689 2781889.5032)
22.569805,1084.2688,-0.00229608,6,1927,3,0.4244838,0.825498861,1,1,8.07,63.18,(33523582.963600002 2756892.6819)
