年均温,年降水,蒸散量,母岩,DEM,地形部位,NDVI,LAI,植被类型,土地利用,pH,TDLY,coordinates
21.942486,1061.308,-0.0022444343,1,2025,4,0.61291903,0.9181809441762149,13,4,5.96,-9999.00,(33517424.529600002 2763102.3894999996)
18.164577,1273.8174,-0.0023984406,8,1438,3,0.5907205,1.4544537456155704,8,4,7.18,-9999.00,(33479817.6835 2798254.1219999995)
22.143068,1260.5503,-0.0024400284,2,1830,3,0.64355385,1.4502220763482079,6,4,8.03,-9999.00,(33480260.6698 2758792.2167000007)
22.19316,1009.4684,-0.0022538616,4,1668,4,0.55527616,1.3190239127398053,18,1,7.88,620.87,(33525352.6522 2783716.7465000004)
22.941872,993.74475,-0.0022339511,4,1649,3,0.43809924,0.949027367307769,18,1,7.28,1372.95,(33523462.262199998 2778520.3863999993)
19.414423,1046.924,-0.0023064732,4,1861,3,0.5791054,0.9246478114145646,18,1,6.03,142.16,(33519767.8258 2796889.230799999)
22.606012,1007.2636,-0.0022479321,4,1659,5,0.47737393,1.0183096168699515,18,1,8.48,1640.25,(33525297.8372 2781715.363500001)
22.22178,1082.7424,-0.0022907597,1,1943,5,0.5086366,1.1095782350280046,13,1,8.37,94.77,(33521892.9806 2756434.7947000004)
22.701193,1011.0823,-0.0021980058,4,1667,3,0.44733098,0.9641911995924681,18,1,6.73,290.38,(33516977.2568 2773716.6163)
21.198067,1022.9946,-0.0022634447,4,1707,4,0.49319535,1.0664459243140603,18,1,7.22,868.73,(33526825.1839 2785820.0830000006)
24.316307,1085.0222,-0.0023233562,4,1359,3,0.46087244,0.9427072535616304,18,1,7.51,663.39,(33500247.965 2768795.1922999993)
23.33741,1024.1476,-0.0022287616,4,1656,4,0.472846,1.0296092272490756,18,1,5.03,196.83,(33522452.3425 2768534.7202000003)
24.26209,1102.832,-0.0023494125,5,1331,4,0.45347387,0.8521634497718759,8,1,8.35,928.26,(33496169.4974 2771825.0736999996)
23.186255,1018.03674,-0.0022213543,4,1643,4,0.46859705,1.0519665618457066,18,1,5.65,319.54,(33521327.277400002 2769183.3468999993)
21.839819,1096.2068,-0.0022991546,1,1836,3,0.33485988,0.6104406296671305,18,1,8.07,398.52,(33531535.4826 2753013.6703999992)
24.35745,1161.8722,-0.002419418,4,872,4,0.5208352,1.1862875968973683,19,1,5.55,130.00,(33485155.7729 2758275.4209000003)
21.03329,1008.5913,-0.0022692538,4,1711,3,0.48544607,1.0494400762501848,18,1,6.83,449.55,(33524240.3821 2787641.7689999994)
24.62937,1128.2095,-0.0023752176,4,675,3,0.5019313,1.0422248161868712,15,1,8.23,263.65,(33490215.1869 2755795.9218000006)
22.62258,1023.37946,-0.002212808,4,1666,4,0.444542,0.9754093314845154,13,1,7.05,318.33,(33517488.3658 2768497.7980000004)
23.353535,1094.207,-0.0023179634,4,1396,4,0.48687026,1.0097320912475816,18,1,8.29,219.92,(33504423.0006 2764933.4702000003)
